	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass
221	221	mn09	n5	Eucalanidae	4.6053282799	117.1789383901	35.1569032258	16.9247096774	4.0322580645	5.8656573999	N	onshore	1.24	1.8020069169	-14.001	-76.66	7.2734151759	10.5699552066
226	226	mn10	n1	Eucalanidae	34.1928022208	1.9991071884	35.1235238095	15.796714285699998	6.619047619	16.7992421657	D	onshore	4.8345323741	6.0881246788	-14.0015	-76.66	81.2164801104	102.27588081440001
231	231	mn10	n2	Eucalanidae	21.2312576149	4.0782762605	35.1328125	15.9669375	2.4375	6.6604485789	D	onshore	3.2820512821	5.4635623417999994	-14.0015	-76.66	21.859933797399997	36.389776034899995
236	236	mn10	n3	Eucalanidae	14.6390545776	25.3483629983	35.1483333333	16.3343333333	1.75	5.1694625799	D	onshore	3.4285714286	1.7831929863	-14.0015	-76.66	17.7238717026	9.2181494153
241	241	mn10	n4	Eucalanidae	8.932294328200001	97.2364302487	35.162846153800004	16.692461538499998	1.9230769231	5.766104052899999	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0
246	246	mn10	n5	Eucalanidae	3.7282079319999997	146.2830688205	35.1487	16.8539	1.2	4.4738197081	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0
251	251	mn11	n1	Eucalanidae	52.893428300299995	2.9288010291	35.142921875	15.58203125	10.09375	15.604815804000001	D	offshore	21.5975232198	4.2138700087	-14.297	-77.169	337.02537166720003	65.7566653077
256	256	mn11	n2	Eucalanidae	39.428902249000004	17.95664722	35.1686309524	15.9999761905	15.4761904762	10.4370044163	D	offshore	1.8738461538	1.35232748	-14.297	-77.169	19.5573405832	14.114247880999999
261	261	mn11	n3	Eucalanidae	31.2831152646	24.6353639164	35.1745365854	16.1487073171	6.8780487804999995	6.7594863123	D	offshore	0.4361702128	0.9125738823999999	-14.297	-77.169	2.9482865830000002	6.168530666900001
266	266	mn11	n4	Eucalanidae	23.9625041026	62.012897063000004	35.175960784299996	16.630745098	7.2156862745	7.3561648253	D	offshore	0.4157608696	0.3182342935	-14.297	-77.169	3.0584054844	2.3409839163
271	271	mn11	n5	Eucalanidae	12.0253780376	121.9856942191	35.169607843099996	16.9221960784	4.7058823529	18.2921755233	D	offshore	0.0	0.0	-14.297	-77.169	0.0	0.0
276	276	mn12	n1	Eucalanidae	52.83216627149999	0.0	35.1230733945	15.653954128399999	21.339449541300002	16.0023603584	N	offshore	0.2811693895	0.4609845948	-14.277000000000001	-77.17699999999999	4.4993738926999995	7.3768416049
281	281	mn12	n2	Eucalanidae	40.2431040202	2.222521155	35.1692054795	16.276164383599998	14.9452054795	9.7411974302	N	offshore	1.1374885426	0.9437380051	-14.277000000000001	-77.17699999999999	11.080500468299999	9.1931382301
286	286	mn12	n3	Eucalanidae	31.4464660256	104.5909378917	35.1839130435	17.1107391304	9.8043478261	7.1570930315	N	offshore	13.9733924612	15.5705958896	-14.277000000000001	-77.17699999999999	100.00886981059999	111.44020333809999
291	291	mn12	n4	Eucalanidae	24.4618712808	137.5971752691	35.1787083333	17.2597916667	11.166666666700001	6.660297128300001	N	offshore	4.6567164179	2.3669646691	-14.277000000000001	-77.17699999999999	31.015114985500002	15.764687988599999
296	296	mn12	n5	Eucalanidae	12.395769319500001	145.6316653042	34.6554328358	17.270970149300002	15.417910447799999	19.6839436335	N	offshore	2.0106485963	2.5828434617	-14.277000000000001	-77.17699999999999	39.5774936368	50.840545114799994
301	301	mn13	n1	Eucalanidae	95.10802177040001	9.072076726	35.0709622642	14.877471698099999	8.377358490599999	12.7191192829	D	onshore	64.81756756760001	45.1502698942	-15.424000000000001	-75.444	824.4223735201	574.2716684405
306	306	mn13	n2	Eucalanidae	77.58317876939999	25.692530435300004	35.088417322800005	15.2201653543	20.5905511811	22.5585018157	D	onshore	87.3701720841	5.687863918500001	-15.424000000000001	-75.444	1970.9401855989001	128.3096885335
