	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass	station	binned_o2
314	314	mn13	n3	Pleuroncodes	57.9536341316	19.728510333800003	35.144218487399996	15.8370756303	20.7142857143	16.7962420028	D	onshore	0.0	0.0	-15.424000000000001	-75.444	0.0	0.0	station 8	(10, 20]
319	319	mn13	n4	Pleuroncodes	43.032209301	98.8555745	35.1911370968	16.8416854839	21.9193548387	15.406069192999999	D	onshore	0.0	0.0	-15.424000000000001	-75.444	0.0	0.0	station 8	(50, 150]
324	324	mn13	n5	Pleuroncodes	19.241161734400002	202.2729116	35.196329896900004	17.7450824742	19.865979381400003	33.2015302121	D	onshore	0.0	0.0	-15.424000000000001	-75.444	0.0	0.0	station 8	(150, 250]
329	329	mn14	n1	Pleuroncodes	94.5288196802	4.4566292126	35.0536410256	14.6338717949	5.4358974359	10.4337137162	N	onshore	0.0	0.0	-15.43	-75.44	0.0	0.0	station 8	(0, 10]
334	334	mn14	n2	Pleuroncodes	75.4159653508	42.4696247469	35.0807102804	15.1992476636	35.060747663600004	21.5646894001	N	onshore	0.028521924599999998	0.3424069249	-15.43	-75.44	0.6150664443	7.3838989847	station 8	(20, 50]
339	339	mn14	n3	Pleuroncodes	58.5747321267	59.2557218682	35.1785486726	16.2630442478	15.8318584071	18.187608018	N	onshore	0.6948015651	14.727711261	-15.43	-75.44	12.636778516700002	267.8618394173	station 8	(50, 150]
344	344	mn14	n4	Pleuroncodes	45.0096245358	135.95468029129998	35.1960707071	17.2723232323	13.7575757576	11.032565576300001	N	onshore	0.43612334799999997	9.7292830127	-15.43	-75.44	4.8115594364	107.33895284799999	station 8	(50, 150]
349	349	mn14	n5	Pleuroncodes	21.6790578319	203.84302421669997	35.212742268	17.879721649500002	14.8762886598	37.674244273	N	onshore	1.0083160083	16.8533865609	-15.43	-75.44	37.987543601700004	634.938602123	station 8	(150, 250]
354	354	mn15	n1	Pleuroncodes	73.1787478563	2.9184802425	35.1151428571	15.246053571400001	45.3892857143	46.90564757479999	D	offshore	0.352506098	7.120767294099999	-15.860999999999999	-76.105	16.5345268027	334.0042011575	station 7	(0, 10]
359	359	mn15	n2	Pleuroncodes	48.211836911300004	27.5475566796	35.153417582399996	16.3942857143	13.7252747253	10.6347786459	D	offshore	0.1457165733	11.2579594327	-15.860999999999999	-76.105	1.5496635016	119.72590657200001	station 7	(20, 50]
364	364	mn15	n3	Pleuroncodes	39.0407691034	78.2009837418	35.172625	16.929535714300002	9.642857142899999	3.3793925708	D	offshore	0.0	0.0	-15.860999999999999	-76.105	0.0	0.0	station 7	(50, 150]
369	369	mn15	n4	Pleuroncodes	36.999412233899996	138.9523004418	35.2082424242	17.5038484848	5.696969697	3.8764156218	D	offshore	1.9308510638	371.9635716697	-15.860999999999999	-76.105	7.4847812272	1441.8853999545001	station 7	(50, 150]
374	374	mn15	n5	Pleuroncodes	19.8718366815	206.3534010914	35.2495	18.020346153800002	21.2692307692	33.6980856594	D	offshore	0.0	0.0	-15.860999999999999	-76.105	0.0	0.0	station 7	(150, 250]
379	379	mn16	n1	Pleuroncodes	73.7747484381	1.0165243342	35.1196847458	15.270999999999999	54.5593220339	45.613677386899994	N	offshore	0.256601429	39.9878251261	-15.86	-76.10600000000001	11.7045348001	1823.9917547024	station 7	(0, 10]
384	384	mn16	n2	Pleuroncodes	51.8279551481	29.6434406861	35.1561621622	16.4133513514	10.4594594595	7.3547671025	N	offshore	0.4780361757	7.5635078923000005	-15.86	-76.10600000000001	3.5158447389	55.6278390255	station 7	(20, 50]
389	389	mn16	n3	Pleuroncodes	44.6608427436	87.8085921047	35.1831911765	17.0115441176	9.9264705882	5.0689819743	N	offshore	0.40296296299999995	5.0551440274	-15.86	-76.10600000000001	2.0426119956	25.6244339523	station 7	(50, 150]
394	394	mn16	n4	Pleuroncodes	39.0656176546	179.1232991623	35.2369661017	17.8835084746	9.2881355932	4.0751587543	N	offshore	0.3229927007	9.491012965	-15.86	-76.10600000000001	1.316246532	38.6773845716	station 7	(150, 250]
399	399	mn16	n5	Pleuroncodes	20.0887456351	207.59735490970002	35.2523333333	18.0555591398	16.8817204301	35.6860002616	N	offshore	0.2369426752	2.7154197295999998	-15.86	-76.10600000000001	8.4555363677	96.90246918	station 7	(150, 250]
